tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
542,intra,HOT,HOTB,HOTB4,HOT_EXTRA,BIP_NaN,BIP,NaN,i8j0,BIP,1,16,NA,0,0,123
543,intra,HOT,HOTB,HOTB5,HOT_EXTRA,BIP_NaN,BIP,NaN,i2j0,BIP,1,4,NA,0,0,49
544,intra,HOT,HOTB,HOTB5,HOT_EXTRA,BIP_NaN,BIP,NaN,i4j0,BIP,1,8,NA,0,0,74
545,intra,HOT,HOTB,HOTB5,HOT_EXTRA,BIP_NaN,BIP,NaN,i8j0,BIP,1,16,NA,0,0,110
546,intra,HOT,HOTB,HOTB6,HOT_EXTRA,BIP_NaN,BIP,NaN,i2j0,BIP,1,4,NA,0,0,39
547,intra,HOT,HOTB,HOTB6,HOT_EXTRA,BIP_NaN,BIP,NaN,i4j0,BIP,1,8,NA,0,0,76
548,intra,HOT,HOTB,HOTB6,HOT_EXTRA,BIP_NaN,BIP,NaN,i8j0,BIP,1,16,NA,0,0,107
549,intra,HOT,HOTB,HOTB7,HOT_EXTRA,BIP_NaN,BIP,NaN,i2j0,BIP,1,4,NA,0,0,35
550,intra,HOT,HOTB,HOTB7,HOT_EXTRA,BIP_NaN,BIP,NaN,i4j0,BIP,1,8,NA,0,0,52
551,intra,HOT,HOTB,HOTB7,HOT_EXTRA,BIP_NaN,BIP,NaN,i8j0,BIP,1,16,NA,0,0,104
552,intra,HOT,HOTC,HOTC8,HOT_T5,BIP_NaN,BIP,NaN,i2j0,BIP,1,4,NA,0,0,48
553,intra,HOT,HOTC,HOTC8,HOT_T5,BIP_NaN,BIP,NaN,i4j0,BIP,1,8,NA,0,0,38
554,intra,HOT,HOTC,HOTC8,HOT_T5,BIP_NaN,BIP,NaN,i8j0,BIP,1,16,NA,0,0,110
555,intra,HOT,HOTC,HOTC9,HOT_T5,BIP_NaN,BIP,NaN,i2j0,BIP,1,4,NA,0,0,41
556,intra,HOT,HOTC,HOTC9,HOT_T5,BIP_NaN,BIP,NaN,i4j0,BIP,1,8,NA,0,0,71
557,intra,HOT,HOTC,HOTC9,HOT_T5,BIP_NaN,BIP,NaN,i8j0,BIP,1,16,NA,0,0,96
558,intra,HOT,HOTC,HOTC10,HOT_T5,BIP_NaN,BIP,NaN,i2j0,BIP,1,4,NA,0,0,48
559,intra,HOT,HOTC,HOTC10,HOT_T5,BIP_NaN,BIP,NaN,i4j0,BIP,1,8,NA,0,0,56
560,intra,HOT,HOTC,HOTC10,HOT_T5,BIP_NaN,BIP,NaN,i8j0,BIP,1,16,NA,0,0,95
561,intra,HOT,HOTA,HOTA1,HOT_T2,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,0
562,intra,HOT,HOTA,HOTA1,HOT_T2,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,0
563,intra,HOT,HOTA,HOTA1,HOT_T2,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,0
564,intra,HOT,HOTA,HOTA2,HOT_T2,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,0
